dataset_identifier,origin,xml_filename,dataset_language,dataset_title_de,dataset_keyword_de,dataset_description_de,dataset_title_unknown,dataset_keyword_unknown,dataset_description_unknown,dataset_title_en,dataset_keyword_en,dataset_description_en,dataset_keyword_fr,dataset_title_fr,dataset_description_fr,dataset_title_it,dataset_keyword_it,dataset_description_it,dataset_title_rm,dataset_keyword_rm,dataset_description_rm,dataset_publisher_name,dataset_publisher_url,dataset_spatial,dataset_theme,dataset_issued,dataset_is_mobility,dataset_location_id,dataset_location,dataset_location_district,dataset_location_canton,dataset_location_country,dataset_language_status_de,dataset_language_status_en,dataset_language_status_fr,dataset_language_status_it,dataset_language_status_unknown,dataset_language_quality,dataset_description_length_de,dataset_description_length_en,dataset_description_length_fr,dataset_description_length_it,dataset_description_length_rm,dataset_distribution_format_count,dataset_keyword_count_de,dataset_keyword_count_en,dataset_keyword_count_fr,dataset_keyword_count_it,dataset_keyword_count_rm,dataset_cluster_id
ur-1850,geocat.ch,ur-1850.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Bewirtschaftungseinheit (UR),"['Geobasisdaten', 'opendata.swiss']","Die Bewirtschaftungseinheiten zeigen auf, durch welchen Betrieb die entsprechende Fläche bewirtschaftet wird. Die Betriebsstandorte sind ebenfalls ersichtlich.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['farming'],2025-10-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1784,geocat.ch,ur-1784.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Entsorgungsrouten Grüngut,"['Geobasisdaten', 'opendata.swiss']","Die ZAKU sammelt im Auftrag der Gemeinden die Grünbabfälle im Kanton Uri entlang von festgelegten Sammelrouten. Diese werden von April bis November alle 2 Wochen abgefahren. Alle morgens ab 07.00 Uhr ordnungsgemäss bereitgestellten Grünbabfälle entlang dieser Routen werden eingesammelt. Die genauen Daten sowie die Anforderungen an die Bereitstellung finden sich im Abfall-Infoblatt, welches jährlich in alle Haushaltungen verteilt wird sowie unter dem Link ""https://www.zaku.ch"". Der Layer ""Entsorgungsrouten Grüngut"" bildet zusammen mit dem Layer ""Entsorgungsrouten Kehricht"" den Geobasisdatensatz ""35-UR Entsorgungsrouten Siedlungsabfälle"".",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2022-12-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1890,geocat.ch,ur-1890.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Stromversorgungssicherheit: Netzebene 3 (UR),"['Geobasisdaten', 'opendata.swiss']","Die Versorgungsgebiete bezeichnen und bestimmen die Netzgebiete der im Kanton Uri tätigen Stromnetzbetreiber gemäss Stromversorgungsgesetz (StromVG) Ein Netzgebiet ist die räumliche Ausdehnung des Stromnetzes des jeweiligen Netzbetreibers, an dem Endverbraucher angeschlossen sind. Ziel der Netzzuteilung ist die vollständige Abdeckung des gesamten Kantonsgebiets ohne verwaiste Gebiete. Aus rechtlicher Sicht ist die Netzzuteilung eine Konzession die den Netzbetreiber berechtigt und verpflichtet, das jeweilige Netzgebiet mit Strom zu versorgen. Private Haushalte verwenden die niedrigste Spannungsebene (Netzebene 7) und industrielle Verbraucher höhere Spannungsebenen (Netzebene 3 und 5).",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Energy', 'utilitiesCommunication']",2011-11-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1802,geocat.ch,ur-1802.xml,,,,,Sicherheitsholzerei AfBN,,Sicherheitsholzerei entlang der Nationalstrassen in der Gebietseinteilung 11.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2018-09-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1819,geocat.ch,ur-1819.xml,,,['opendata.swiss'],,Zustand Fremdwasser,['opendata.swiss'],"Der Zustandsbericht Fremdwasser gibt eine Übersicht über den Anfall von Fremdwasser und sogenanntem Reinabwasser. Der Bericht umfasst: Einleitungen von Bächen, Drainagen aus Meliorationsgebieten, Sickerleitungen von Gebäuden und Anlagen, unverschmutzten Kühlwässern, Brunnen / Eindringen von Grundwasser in undichte Kanalisationen / Anschlüsse von Quellfassungsüberläufen / Rückleitungen von Grundwasser aus Wärmepumpenanlagen / Einleitungen von See- und Bachwasser (Neben der Bezeichnung der genauen Einleitstellen werden auch die Mengen angegeben). Dieser Layer ist Teil des GEP (ID 129), wurde aber noch nicht gemäss dem minimalen Geodatenmodell (MGDM) des Bundes umgesetzt!",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2004-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-2005,geocat.ch,ur-2005.xml,,,"['Kantonsstrasse', 'opendata.swiss']",,Geschwindigkeit Kantonsstrasse,"['Kantonsstrasse', 'opendata.swiss']",Angaben der Geschwindigkeit auf der Kantonsstrasse.,,"['cantonal road', 'opendata.swiss']",,"['route cantonale', 'route cantonale', 'opendata.swiss', 'opendata.swiss']",,,,"['strada cantonale', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2025-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1856,geocat.ch,ur-1856.xml,,,['Abfluss'],,Oberflächengewässer Pegel und Abfluss,['Abfluss'],"An diversen automatisierten Stellen im Kanton Uri werden, im Verantwortungsbereich vom Amt für Umweltschutz Uri, der Wasserstand und der Abfluss von Fliessgewässern online erfasst. Die Datenaufzeichnung geht teilweise bis ins Jahr 1970 zurück. Die grösseren Fliessgewässer und Seepegel werden zusätzlich vom Bundesamt für Umwelt gemessen.",,['drain'],,"['écoulement', 'écoulement']",,,,['emissario'],,,,,Lisag AG,http://www.lisag.ch,,['climatologyMeteorologyAtmosphere'],2025-11-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1882,geocat.ch,ur-1882.xml,,,"['Leitungskataster', 'opendata.swiss']",,Elektro Leitungen,"['Leitungskataster', 'opendata.swiss']","Elektro Trasse, Bauwerke und Trassepunkte.",,"['pipeline cadastre', 'opendata.swiss']",,"['cadastre des conduites', 'cadastre des conduites', 'opendata.swiss', 'opendata.swiss']",,,,"['catasto delle condotte', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Energy', 'utilitiesCommunication']",2025-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1886,geocat.ch,ur-1886.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Primarschulkreise,"['Geobasisdaten', 'opendata.swiss']",Einzugsgebiete und Schulhausstandorte der Primarschulen im Kanton Uri,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['boundaries'],2025-05-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1986,geocat.ch,ur-1986.xml,,,,,Antennenstandorte,,Mobilfunkstandorte Kanton Uri,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Communication', 'utilitiesCommunication']",2007-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1905,geocat.ch,ur-1905.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Seilbahnen mit Konzession,"['Geobasisdaten', 'opendata.swiss']","Der Datensatz umfasst die im Kanton Uri konzessionierten Personenseilbahnen, Sessellifte und Skilifte.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2023-02-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1990,geocat.ch,ur-1990.xml,,,,,"Eisenbahnlärm (Basis EP 2015, ohne NEAT)",,"Die Karte zeigt, welcher Lärmbelastung die Bevölkerung durch den Eisenbahnverkehr ausgesetzt ist. Die Lärmberechnung basiert auf dem Emissionsplan 2015 (Zustand ohne NEAT).",,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['environment_EnvironmentalProtection', 'environment']",2010-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1858,geocat.ch,ur-1858.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Landwirtschaftlicher Naturschutz,"['Geobasisdaten', 'opendata.swiss']","Der Datensatz bildet Flächen ab, die sich innerhalb von Schutzobjekten von lokaler, regionaler oder nationaler Bedeutung nach dem Gesetz über den Natur- und Heimatschutz (RB 10.5101) befinden . Die Flächen werden durch die Abteilung Natur und Landschaft des Amt für Raumentwicklung beurteilt. Als Kriterien gelten dabei insbesondere:•die Grösse des Objekts;•die Qualität des Objekts (Seltenheit des Lebensraums und der darin vorkommenden Tier- und Pflanzenarten);•die Funktion des Lebensraums (z.B. Verbindungsfunktion zwischen mehreren schützenswerten Flächen, Pufferzonen von Naturschutzgebieten, Lebensraum für seltene Tierarten);•die Vielfältigkeit des Lebensraums.Die Beiträge für den landwirtschaftlichen Naturschutz sind in der Verordnung über Beiträge für den landwirtschaftlichen Naturschutz (BLNV; RB 10.5105) und dem Reglement zur Verordnung über Beiträge für den landwirtschaftlichen Naturschutz (BLNR; RB 10.5106) geregelt.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['environment_NatureProtection', 'environment']",2025-10-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1889,geocat.ch,ur-1889.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Oberstufenschulkreise,"['Geobasisdaten', 'opendata.swiss']",Einzugsgebiete und Schulhausstandorte der Oberstufen im Kanton Uri,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['boundaries'],2025-05-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
