dataset_identifier,distribution_format,distribution_access_url,origin,xml_filename,distribution_title_de,distribution_description_de,distribution_title_unknown,distribution_description_unknown,distribution_title_en,distribution_description_en,distribution_title_fr,distribution_description_fr,distribution_title_it,distribution_description_it,distribution_title_rm,distribution_description_rm,distribution_media_type,distribution_language,distribution_download_url,distribution_coverage,distribution_temporal_resolution,distribution_documentation,distribution_id,distribution_issued_date,distribution_modified_date,distribution_license,distribution_rights,distribution_byte_size,distribution_language_status_de,distribution_language_status_en,distribution_language_status_fr,distribution_language_status_it,distribution_language_status_unknown,distribution_language_quality,distribution_description_length_de,distribution_description_length_en,distribution_description_length_fr,distribution_description_length_it,distribution_description_length_rm,distribution_format_name,distribution_format_type,distribution_format_cluster,distribution_format_geodata,distribution_access_url_status_code,distribution_download_url_status_code
urn:isogeo:metadata:uuid:c60e44cf-94e3-4ada-bc63-d653bf822f6b,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_c60e44cf-94e3-4ada-bc63-d653bf822f6b.xml,,,Couche disponible dans CH-OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/fr/,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2166,OGC:WMS,,geocat.ch,ur-2166.xml,,,umwelt_sec:oekomorphologie_nachkartierung_2024,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2166,OGC:WFS,,geocat.ch,ur-2166.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2166,,,geocat.ch,ur-2166.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2166,CHTOPO:specialised-geoportal,,geocat.ch,ur-2166.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Ökomorphologie Nachkartierung 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2165,OGC:WMS,,geocat.ch,ur-2165.xml,,,gewaesser:ur055_schiffsstandplaetze,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2165,OGC:WFS,,geocat.ch,ur-2165.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2165,,,geocat.ch,ur-2165.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2165,CHTOPO:specialised-geoportal,,geocat.ch,ur-2165.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Standplätze (Schifffahrt),,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2163,OGC:WMS,,geocat.ch,ur-2163.xml,,,forst:ch161_2_schutzwald,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2163,OGC:WFS,,geocat.ch,ur-2163.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2163,,,geocat.ch,ur-2163.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2163,CHTOPO:specialised-geoportal,,geocat.ch,ur-2163.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Schutzwald,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2171,OGC:WMS,,geocat.ch,ur-2171.xml,,,strassen:bushaltestellen_inventar,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2171,OGC:WFS,,geocat.ch,ur-2171.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2171,,,geocat.ch,ur-2171.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2171,CHTOPO:specialised-geoportal,,geocat.ch,ur-2171.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Bushaltestellen Inventar,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:2cb57d22-887b-460c-bc3b-6f527af1031f,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_2cb57d22-887b-460c-bc3b-6f527af1031f.xml,,,Couche disponible dans CH-OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/fr/,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:2cb57d22-887b-460c-bc3b-6f527af1031f,,,geocat.ch,urn_isogeo_metadata_uuid_2cb57d22-887b-460c-bc3b-6f527af1031f.xml,,,Modèle de données propre aux arbres sur la page Wiki OSM,,,,,,,,,,,,https://wiki.openstreetmap.org/wiki/FR:Tag:natural%3Dtree,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:0de2cb6e-6501-42c7-9426-c5ea26bca067,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_0de2cb6e-6501-42c7-9426-c5ea26bca067.xml,,,Couche disponible dans CH-OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/fr/,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:0de2cb6e-6501-42c7-9426-c5ea26bca067,,,geocat.ch,urn_isogeo_metadata_uuid_0de2cb6e-6501-42c7-9426-c5ea26bca067.xml,,,Modèle de données propre aux forêts sur la page Wiki OSM,,,,,,,,,,,,https://wiki.openstreetmap.org/wiki/FR:Tag:landuse%3Dforest,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2184,OGC:WMS,,geocat.ch,ur-2184.xml,,,raumplanung_sec:are_schwachstellenanalyse_fussverkehr,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2184,OGC:WFS,,geocat.ch,ur-2184.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2184,,,geocat.ch,ur-2184.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2184,CHTOPO:specialised-geoportal,,geocat.ch,ur-2184.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Schwachstellenanalyse Fusswegnetz,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2173,OGC:WMS,,geocat.ch,ur-2173.xml,,,umwelt:ch.bafu.feststoffe-geschiebemessnetz,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
